Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
6/20/2017 15:24,VR2W-104919,A69-1601-46843,,,,,OCSD_23,33.57322,-118.0069
6/20/2017 16:28,VR2W-104919,A69-1601-46843,,,,,OCSD_23,33.57322,-118.0069
6/20/2017 16:40,VR2W-104919,A69-1601-46843,,,,,OCSD_23,33.57322,-118.0069
6/20/2017 16:43,VR2W-104919,A69-1601-46843,,,,,OCSD_23,33.57322,-118.0069
6/20/2017 16:45,VR2W-104919,A69-1601-46843,,,,,OCSD_23,33.57322,-118.0069
6/20/2017 17:36,VR2W-109200,A69-1601-46843,,,,,OCSD_13,33.58116,-118.0019
6/20/2017 18:48,VR2W-104919,A69-1601-46843,,,,,OCSD_23,33.57322,-118.0069
6/20/2017 18:57,VR2W-109186,A69-1601-46843,,,,,OCSD_24,33.57142,-118.002
6/21/2017 00:00,VR2W-109171,A69-1601-46843,,,,,OCSD_Ref9,33.60017,-118.0949
6/29/2017 16:33,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/29/2017 16:46,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 00:16,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 00:38,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 00:41,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 00:46,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 00:52,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 00:55,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:00,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:12,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:17,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:19,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:21,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:25,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:33,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 01:35,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 10:55,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 11:17,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 20:43,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 22:02,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
6/30/2017 22:05,VR2W-130873,A69-1601-46843,,,,,SanMiguelNorth,34.05695,-120.34552
